BASE_YY,SIDO,SCHOOL_TP,SEP_CNT,DIS_CNT,ESTI_CNT,SEP_DV_CNT,ACC_CNT,EXAM_18_24,EXAM_30_36,EXAM_42_48,EXAM_4_6,EXAM_54_60,EXAM_66_71,EXAM_9_12,EXAM_18_24BF,EXAM_30_36BF,EXAM_42_48BF,EXAM_4_6BF,EXAM_54_60BF,EXAM_66_71BF,EXAM_9_12BF,EFF_LOW,EX_VAR_001,EX_VAR_002,EX_VAR_003,EX_VAR_004,EX_VAR_005,EX_VAR_006,EX_VAR_007,EX_VAR_008,EX_VAR_009,EX_VAR_010,EX_VAR_011,EX_VAR_012,EX_VAR_013,EX_VAR_026,EX_VAR_027,EX_VAR_028,EX_VAR_029,EX_VAR_030,EX_VAR_031,EX_VAR_032,EX_VAR_033,EX_VAR_034,EX_VAR_044,EX_VAR_045,EX_VAR_046,EX_VAR_047,EX_VAR_048,EX_VAR_061,EX_VAR_062,EX_VAR_063,EX_VAR_065,EX_VAR_066,EX_VAR_067,EX_VAR_068,EX_VAR_069,EX_VAR_070,EX_VAR_071,EX_VAR_072,EX_VAR_073,EX_VAR_074,EX_VAR_075,EX_VAR_076,EX_VAR_077,EX_VAR_078,EX_VAR_079,EX_VAR_080,EX_VAR_081,EX_VAR_082,EX_VAR_083,EX_VAR_084,GDP,HG2_GD1,MC_BORN_CNT,MC_BORN_RT,MDL3_GD1,STSF_LOW,TOT_BORN_CNT,WLF_ORGNZ_CNT,WORK_TGT_RT,MC_STUDENT_CNT,EX_SUV_003,EX_SUV_005,EX_SUV_007,EX_SUV_009,EX_SUV_011,EX_SUV_013,EX_SUV_015,EX_SUV_017,EX_SUV_019,EX_SUV_021,EX_SUV_025,EX_SUV_027,EX_SUV_029,EX_SUV_031,EX_SUV_033,EX_SUV_035,EX_SUV_037,EX_SUV_040,EX_SUV_042,EX_SUV_044,EX_SUV_046,EX_SUV_048,EX_SUV_050,EX_SUV_054,EX_SUV_056,EX_SUV_058,EX_SUV_060,TRNS_SSH_CNT,TRNS_NSH_CNT,TRNS_SSH_BUS,TRNS_SSH_BUDG,TRNS_NSH_BUS,TRNS_NSH_BUDG,OPER_EXI_AMT,OPER_NEW_AMT,GRDT_KIN_CNT,GRDT_ELM_CNT,GRDT_MID_CNT
2010,강원,고등학교,584,673.0,61454.0,100.0,427,422.6014486273808,557.0262201192434,654.7293694394477,304.8314275814276,715.3756119900992,228.46100537814488,376.66100283191736,,,,,,,,21.7,713.2797432597253,40.97270396685925,73.3294448501901,40.579806841422695,70.57930215993166,5.330573372736431,5.584306385072207,31.599441035526546,31.599441035526546,3.586851300420725,1.7101822641561475,1.1188782804028912,19.320933472736677,1869534054.1816802,45740840.66561428,11357911.05873624,26840594.040315975,1230155.4825801705,285417.0920429035,401917.7748828763,73973161.93162507,4.002380952380952,5.6,28.6,42.0,18.8,5.1,13.902962962962961,8230.490069394593,593324.4279900655,7.544642857142858,34.655696202531644,41.96832669322709,19.907729468599037,1.9753246753246751,19.1,35.0,22.7,9.4,8.3,11.4,32.1,0.008062992522646736,686.1471701820155,10082.118868484302,20.307582938388624,1539783.2440875664,137002.5876581088,8260840.836291958,70713.7330956302,0.9,4.033333333333332,600.0,5.0,6.833333333333333,6.0,12112.0,241.65762711864406,46.2302877546734,49.15745675381542,51.16113973686904,2.9250668072288315,10.169194841963794,18.021198463691928,12.134255552978212,6.9032856120629695,119.82904416502994,6.876089391556437,3.343631462527418,0.7121998721573303,80.19096162027977,92.84435900137497,4.656216787353713,18.626459158176566,61.62770528073496,87.57313104471172,9.297715714600587,19.580906746097277,4.47506862853317,14.178827262959594,74.66561666859748,8.312539510415906,9.757514594912054,17.450349207429067,76.37376429044495,7.196040684289054,1.7584654036684721,35.12903225806451,352.0059612518629,713.6276595744681,66.0,0.0,553.0909090909091,32665.408751334046,57026.28429057725,31,262,217
2010,강원,유치원,105,327.0,52275.0,14.0,192,422.6014486273808,557.0262201192434,654.7293694394477,304.8314275814276,715.3756119900992,228.46100537814488,376.66100283191736,,,,,,,,21.7,713.2797432597253,40.97270396685925,73.3294448501901,40.579806841422695,70.57930215993166,5.330573372736431,5.584306385072207,31.599441035526546,31.599441035526546,3.586851300420725,1.7101822641561475,1.1188782804028912,19.320933472736677,1869534054.1816802,45740840.66561428,11357911.05873624,26840594.040315975,1230155.4825801705,285417.0920429035,401917.7748828763,73973161.93162507,4.002380952380952,5.6,28.6,42.0,18.8,5.1,13.902962962962961,8230.490069394593,593324.4279900655,7.544642857142858,34.655696202531644,41.96832669322709,19.907729468599037,1.9753246753246751,19.1,35.0,22.7,9.4,8.3,11.4,32.1,0.008062992522646736,686.1471701820155,10082.118868484302,20.307582938388624,1539783.2440875664,137002.5876581088,8260840.836291958,70713.7330956302,0.9,4.033333333333332,600.0,5.0,6.833333333333333,6.0,12112.0,241.65762711864406,46.2302877546734,,0.0,0.0,0.0,0.0,0.0,0.0,71.07648362569701,17.622732270239876,18.376958180210416,3.1353367175807665,98.53012852122676,100.74277435390307,7.48435298067402,21.280346829121452,46.10751678347951,96.93765673766524,15.557423874553129,28.662275705990105,13.791641523996786,10.769687280954807,2.371284283263225,74.16893278188132,12.420138793638415,73.2825343332021,81.70490506329116,0.0,0.0,0.0,15.61290322580645,713.6276595744681,66.0,0.0,553.0909090909091,25218.19277980517,48303.69465739762,31,262,217
2010,강원,중학교,737,637.0,59279.0,65.0,427,422.6014486273808,557.0262201192434,654.7293694394477,304.8314275814276,715.3756119900992,228.46100537814488,376.66100283191736,,,,,,,,21.7,713.2797432597253,40.97270396685925,73.3294448501901,40.579806841422695,70.57930215993166,5.330573372736431,5.584306385072207,31.599441035526546,31.599441035526546,3.586851300420725,1.7101822641561475,1.1188782804028912,19.320933472736677,1869534054.1816802,45740840.66561428,11357911.05873624,26840594.040315975,1230155.4825801705,285417.0920429035,401917.7748828763,73973161.93162507,4.002380952380952,5.6,28.6,42.0,18.8,5.1,13.902962962962961,8230.490069394593,593324.4279900655,7.544642857142858,34.655696202531644,41.96832669322709,19.907729468599037,1.9753246753246751,19.1,35.0,22.7,9.4,8.3,11.4,32.1,0.008062992522646736,686.1471701820155,10082.118868484302,20.307582938388624,1539783.2440875664,137002.5876581088,8260840.836291958,70713.7330956302,0.9,4.033333333333332,600.0,5.0,6.833333333333333,6.0,12112.0,241.65762711864406,46.2302877546734,563.2952285764953,32.65799711338748,3.1342589394124416,9.652932257683446,32.33816996862297,10.294191001057014,13.242314402255152,100.38830747534712,12.809714135261077,8.039942940029594,1.102667022708132,83.68011930965915,89.171041190602,8.286551123602813,28.159117271709857,66.46617725908271,76.58757908183763,14.497185806682936,25.668747187233222,18.69306948170532,28.225864659738114,22.176893838512147,2.887438679019376,9.049650423250124,18.282204025676656,79.86549153964582,2.5794691702875663,0.0,35.12903225806451,352.0059612518629,713.6276595744681,66.0,0.0,553.0909090909091,26356.253332345972,46678.58914416603,31,262,217
2010,강원,초등학교,1324,1040.0,104038.0,52.0,192,422.6014486273808,557.0262201192434,654.7293694394477,304.8314275814276,715.3756119900992,228.46100537814488,376.66100283191736,,,,,,,,21.7,713.2797432597253,40.97270396685925,73.3294448501901,40.579806841422695,70.57930215993166,5.330573372736431,5.584306385072207,31.599441035526546,31.599441035526546,3.586851300420725,1.7101822641561475,1.1188782804028912,19.320933472736677,1869534054.1816802,45740840.66561428,11357911.05873624,26840594.040315975,1230155.4825801705,285417.0920429035,401917.7748828763,73973161.93162507,4.002380952380952,5.6,28.6,42.0,18.8,5.1,13.902962962962961,8230.490069394593,593324.4279900655,7.544642857142858,34.655696202531644,41.96832669322709,19.907729468599037,1.9753246753246751,19.1,35.0,22.7,9.4,8.3,11.4,32.1,0.008062992522646736,686.1471701820155,10082.118868484302,20.307582938388624,1539783.2440875664,137002.5876581088,8260840.836291958,70713.7330956302,0.9,4.033333333333332,600.0,5.0,6.833333333333333,6.0,12112.0,241.65762711864406,46.2302877546734,1318.0761465558257,0.0,0.0,0.0,0.0,0.0,0.0,88.6089738498593,15.250262933361874,11.468567924536138,2.6962738979473686,88.50829651912258,94.67205184864314,7.388797878843909,17.56693844870507,63.75817767549355,83.01417058581923,18.54449602446144,47.44516451984999,45.873123707281664,9.699266856267371,5.170374490514802,3.8291878925290344,7.860762065555795,36.27555877355244,67.39937961886515,0.0,0.0,7.111111111111111,573.0,713.6276595744681,66.0,0.0,553.0909090909091,0.0,44504.58522488592,31,262,217
2010,경기,고등학교,4031,4982.0,496284.0,241.0,1986,5547.635344005573,5765.599190717121,5713.526866440648,2932.2259320028293,5332.725405616991,1245.1444163266838,4564.910482820387,,,,,,,,27.35,2119.929845775363,93.19836334912523,95.37683803550934,88.3506423789999,76.8298196918714,63.885909360969215,72.09063610703211,93.05903578136542,79.86533304021675,47.02722584785204,56.56562381513908,61.55918581384583,75.23838455952907,8469498147.348427,110057451.03824267,72074329.89904468,8926391.035914682,1632855.13321492,347501.09438841307,1375262709.0638146,224499452.57526493,2.597297297297297,4.6,28.9,43.2,16.7,6.6,9.909677419354837,40537.450067408994,4077580.7699941956,8.069491525423729,32.804761904761904,41.098347107438016,18.108465608465607,3.2512499999999993,18.6,44.9,20.7,15.9,14.0,9.9,12.2,0.033487546197945306,5412.982387578468,90792.43865149315,24.713899613899617,6027246.581885784,452704.44137862953,26258103.409513693,219500.7430957935,2.1,4.033333333333332,4222.0,3.7,6.833333333333333,7.05,113692.0,1385.0350250178699,41.6066502061588,347.9610421004911,51.16113973686904,2.9250668072288315,10.169194841963794,18.021198463691928,12.134255552978212,6.9032856120629695,119.82904416502994,6.876089391556437,3.343631462527418,0.7121998721573303,80.19096162027977,92.84435900137497,4.656216787353713,18.626459158176566,61.62770528073496,87.57313104471172,9.297715714600587,19.580906746097277,4.47506862853317,14.178827262959594,74.66561666859748,8.312539510415906,9.757514594912054,17.450349207429067,76.37376429044495,7.196040684289054,1.7584654036684721,20.449897750511248,2468.891304347826,2291.6203130688023,26.844736842105263,0.0,1934.2120518688023,12773.004403894385,34089.511792936544,334,1426,1327
2010,경기,유치원,675,2777.0,488144.0,9.0,1006,5547.635344005573,5765.599190717121,5713.526866440648,2932.2259320028293,5332.725405616991,1245.1444163266838,4564.910482820387,,,,,,,,27.35,2119.929845775363,93.19836334912523,95.37683803550934,88.3506423789999,76.8298196918714,63.885909360969215,72.09063610703211,93.05903578136542,79.86533304021675,47.02722584785204,56.56562381513908,61.55918581384583,75.23838455952907,8469498147.348427,110057451.03824267,72074329.89904468,8926391.035914682,1632855.13321492,347501.09438841307,1375262709.0638146,224499452.57526493,2.597297297297297,4.6,28.9,43.2,16.7,6.6,9.909677419354837,40537.450067408994,4077580.7699941956,8.069491525423729,32.804761904761904,41.098347107438016,18.108465608465607,3.2512499999999993,18.6,44.9,20.7,15.9,14.0,9.9,12.2,0.033487546197945306,5412.982387578468,90792.43865149315,24.713899613899617,6027246.581885784,452704.44137862953,26258103.409513693,219500.7430957935,2.1,4.033333333333332,4222.0,3.7,6.833333333333333,7.05,113692.0,1385.0350250178699,41.6066502061588,,0.0,0.0,0.0,0.0,0.0,0.0,71.07648362569701,17.622732270239876,18.376958180210416,3.1353367175807665,98.53012852122676,100.74277435390307,7.48435298067402,21.280346829121452,46.10751678347951,96.93765673766524,15.557423874553129,28.662275705990105,13.791641523996786,10.769687280954807,2.371284283263225,74.16893278188132,12.420138793638415,73.2825343332021,81.70490506329116,0.0,0.0,5.157894736842105,67.25958702064896,2291.6203130688023,26.844736842105263,0.0,1934.2120518688023,11743.890499955703,35007.65395738339,334,1426,1327
2010,경기,중학교,4238,4894.0,497572.0,339.0,1986,5547.635344005573,5765.599190717121,5713.526866440648,2932.2259320028293,5332.725405616991,1245.1444163266838,4564.910482820387,,,,,,,,27.35,2119.929845775363,93.19836334912523,95.37683803550934,88.3506423789999,76.8298196918714,63.885909360969215,72.09063610703211,93.05903578136542,79.86533304021675,47.02722584785204,56.56562381513908,61.55918581384583,75.23838455952907,8469498147.348427,110057451.03824267,72074329.89904468,8926391.035914682,1632855.13321492,347501.09438841307,1375262709.0638146,224499452.57526493,2.597297297297297,4.6,28.9,43.2,16.7,6.6,9.909677419354837,40537.450067408994,4077580.7699941956,8.069491525423729,32.804761904761904,41.098347107438016,18.108465608465607,3.2512499999999993,18.6,44.9,20.7,15.9,14.0,9.9,12.2,0.033487546197945306,5412.982387578468,90792.43865149315,24.713899613899617,6027246.581885784,452704.44137862953,26258103.409513693,219500.7430957935,2.1,4.033333333333332,4222.0,3.7,6.833333333333333,7.05,113692.0,1385.0350250178699,41.6066502061588,1163.5971439905427,32.65799711338748,3.1342589394124416,9.652932257683446,32.33816996862297,10.294191001057014,13.242314402255152,100.38830747534712,12.809714135261077,8.039942940029594,1.102667022708132,83.68011930965915,89.171041190602,8.286551123602813,28.159117271709857,66.46617725908271,76.58757908183763,14.497185806682936,25.668747187233222,18.69306948170532,28.225864659738114,22.176893838512147,2.887438679019376,9.049650423250124,18.282204025676656,79.86549153964582,2.5794691702875663,0.0,20.449897750511248,2468.891304347826,2291.6203130688023,26.844736842105263,0.0,1934.2120518688023,11487.0768639889,34445.39130088932,334,1426,1327
2010,경기,초등학교,7511,8161.0,890060.0,180.0,1006,5547.635344005573,5765.599190717121,5713.526866440648,2932.2259320028293,5332.725405616991,1245.1444163266838,4564.910482820387,,,,,,,,27.35,2119.929845775363,93.19836334912523,95.37683803550934,88.3506423789999,76.8298196918714,63.885909360969215,72.09063610703211,93.05903578136542,79.86533304021675,47.02722584785204,56.56562381513908,61.55918581384583,75.23838455952907,8469498147.348427,110057451.03824267,72074329.89904468,8926391.035914682,1632855.13321492,347501.09438841307,1375262709.0638146,224499452.57526493,2.597297297297297,4.6,28.9,43.2,16.7,6.6,9.909677419354837,40537.450067408994,4077580.7699941956,8.069491525423729,32.804761904761904,41.098347107438016,18.108465608465607,3.2512499999999993,18.6,44.9,20.7,15.9,14.0,9.9,12.2,0.033487546197945306,5412.982387578468,90792.43865149315,24.713899613899617,6027246.581885784,452704.44137862953,26258103.409513693,219500.7430957935,2.1,4.033333333333332,4222.0,3.7,6.833333333333333,7.05,113692.0,1385.0350250178699,41.6066502061588,4602.69522469726,0.0,0.0,0.0,0.0,0.0,0.0,88.6089738498593,15.250262933361874,11.468567924536138,2.6962738979473686,88.50829651912258,94.67205184864314,7.388797878843909,17.56693844870507,63.75817767549355,83.01417058581923,18.54449602446144,47.44516451984999,45.873123707281664,9.699266856267371,5.170374490514802,3.8291878925290344,7.860762065555795,36.27555877355244,67.39937961886515,0.0,0.0,67.84037558685446,3019.0857047204554,2291.6203130688023,26.844736842105263,0.0,1934.2120518688023,15599.370552365164,40014.07085746775,334,1426,1327
2010,경남,고등학교,1194,1355.0,132577.0,185.0,936,1632.3752171901508,1600.4716037290777,1880.307208134116,933.2315423976609,1847.93359795479,448.424611693942,1251.6949489752167,,,,,,,,22.35,972.1134448795538,70.85842439749932,76.82532958637998,69.40158612032435,73.77619454015714,46.905849512600994,216.0764101056301,68.14663997363759,61.82321237062845,34.46774215918629,30.295179961984218,36.395012163739175,63.72950232373618,2740240571.288052,53804176.472628586,56340292.12581596,333146.22098839225,0.0,342601.7479045368,7736436.241063249,103522656.57559173,3.735555555555555,4.2,27.3,40.6,22.7,5.1,10.17529411764706,13204.802470138946,1312110.3053115443,6.89074074074074,43.890625,38.67822580645161,17.40313901345291,2.4242424242424243,19.7,48.9,23.8,11.9,10.2,18.4,13.1,0.011581133892259303,1408.3542417112099,25336.9115988959,23.701716738197426,2778188.48858089,166413.25096098226,12424015.769507,111001.84162969103,3.5,4.033333333333332,1465.0,4.8,6.833333333333333,6.6,30320.0,283.4690553745928,48.84161712247325,136.65804932584786,51.16113973686904,2.9250668072288315,10.169194841963794,18.021198463691928,12.134255552978212,6.9032856120629695,119.82904416502994,6.876089391556437,3.343631462527418,0.7121998721573303,80.19096162027977,92.84435900137497,4.656216787353713,18.626459158176566,61.62770528073496,87.57313104471172,9.297715714600587,19.580906746097277,4.47506862853317,14.178827262959594,74.66561666859748,8.312539510415906,9.757514594912054,17.450349207429067,76.37376429044495,7.196040684289054,1.7584654036684721,279.752,236.8595113438045,841.8232104121474,118.29985228951254,0.0,166.05625,54147.604736842106,118211.11258064516,89,536,427
2010,경남,유치원,185,705.0,123716.0,-16.0,450,1632.3752171901508,1600.4716037290777,1880.307208134116,933.2315423976609,1847.93359795479,448.424611693942,1251.6949489752167,,,,,,,,22.35,972.1134448795538,70.85842439749932,76.82532958637998,69.40158612032435,73.77619454015714,46.905849512600994,216.0764101056301,68.14663997363759,61.82321237062845,34.46774215918629,30.295179961984218,36.395012163739175,63.72950232373618,2740240571.288052,53804176.472628586,56340292.12581596,333146.22098839225,0.0,342601.7479045368,7736436.241063249,103522656.57559173,3.735555555555555,4.2,27.3,40.6,22.7,5.1,10.17529411764706,13204.802470138946,1312110.3053115443,6.89074074074074,43.890625,38.67822580645161,17.40313901345291,2.4242424242424243,19.7,48.9,23.8,11.9,10.2,18.4,13.1,0.011581133892259303,1408.3542417112099,25336.9115988959,23.701716738197426,2778188.48858089,166413.25096098226,12424015.769507,111001.84162969103,3.5,4.033333333333332,1465.0,4.8,6.833333333333333,6.6,30320.0,283.4690553745928,48.84161712247325,,0.0,0.0,0.0,0.0,0.0,0.0,71.07648362569701,17.622732270239876,18.376958180210416,3.1353367175807665,98.53012852122676,100.74277435390307,7.48435298067402,21.280346829121452,46.10751678347951,96.93765673766524,15.557423874553129,28.662275705990105,13.791641523996786,10.769687280954807,2.371284283263225,74.16893278188132,12.420138793638415,73.2825343332021,81.70490506329116,0.0,0.0,36.300000000000004,0.0,841.8232104121474,118.29985228951254,0.0,166.05625,55979.758541423944,0.0,89,536,427
